Query_ID,Duration,Query
104,0.00038100,"select * from FOLDER_FOLDERNAME_ANALYSIS"
105,0.23656880,"insert ignore into FOLDER_FOLDERNAME_ANALYSIS (`folderID`, `path`, `foldernameID`, `ratiobasisID`, `recommendedAction`, `ratio`, `weight`)
	SELECT * FROM folder_foldername_preAnalysis F"
106,0.00009230,"SHOW WARNINGS"
107,0.06402030,"select * from FOLDER_FOLDERNAME_ANALYSIS"
108,0.00009320,COMMIT
109,0.00031220,"DROP TABLE IF exists FILE_FILENAME_ANALYSIS"
110,0.00006380,"SHOW WARNINGS"
111,0.01786370,"CREATE TABLE FILE_FILENAME_ANALYSIS (primary key (ID)) AS
-- / EXPLAIN
SELECT F.id, F.name, F.folder, F.folderId, FN.ratiobasisID, RB.recommendedAction, RB.ratio, RB.weight FROM FILE F
	JOIN FILENAME FN ON F.name = FN.name
    JOIN RATIOBASIS RB ON FN.ratiobasisID = RB.ID"
112,0.00031590,"SELECT * FROM FILE_FILENAME_ANALYSIS"
113,0.00011060,COMMIT
114,0.00030090,"DROP TABLE IF exists FILE_FOLDERNAME_ANALYSIS"
115,0.00006800,"SHOW WARNINGS"
116,1.42684270,"CREATE TABLE FILE_FOLDERNAME_ANALYSIS (primary key (ID)) AS
-- / EXPLAIN
SELECT F.id, F.name, F.folder, F.folderId, FN.ratiobasisID, FN.recommendedAction, FN.ratio, FN.weight FROM FILE F
	JOIN FOLDER_FOLDERNAME_ANALYSIS FN ON F.folderID = FN.folderID"
117,0.31340610,"SELECT * FROM FILE_FOLDERNAME_ANALYSIS"
118,0.00008160,COMMIT
