Query_ID,Duration,Query
1,0.02928690,"CREATE TABLE FOLDER_FOLDERNAME_ANALYSIS AS
-- EXPLAIN
SELECT F.id, F.path, FN.ratiobasisID FROM FOLDER F
	JOIN FOLDERNAME FN ON FN.name = F.name"
2,0.00037270,"SELECT * FROM FOLDER_FOLDERNAME_ANALYSIS"
3,0.00903840,"SELECT A.*, RB.recommendedAction, RB.ratio, RB.weight FROM FOLDER_FOLDERNAME_ANALYSIS A
	JOIN RATIOBASIS RB ON A.ratiobasisID = RB.ID"
4,0.01305600,"CREATE TABLE FILE_FILENAME_ANALYSIS AS
-- EXPLAIN
SELECT F.id, F.name, F.folder, F.folderId, FN.ratiobasisID FROM FILE F
	JOIN FILENAME FN ON F.name = FN.name"
5,0.00034650,"SELECT * FROM FILE_FILENAME_ANALYSIS"
6,0.00031560,"SELECT A.*, RB.recommendedAction, RB.ratio, RB.weight FROM FILE_FILENAME_ANALYSIS A
	JOIN RATIOBASIS RB ON A.ratiobasisID = RB.ID"
7,0.10412780,"CREATE TABLE FILE_FOLDERNAME_ANALYSIS AS
-- EXPLAIN
SELECT F.id, F.name, F.folder, F.folderId, FN.ratiobasisID FROM FILE F
	JOIN FOLDER_FOLDERNAME_ANALYSIS FN ON F.folderID = FN.ID"
8,0.00944510,"SELECT * FROM FILE_FOLDERNAME_ANALYSIS"
9,0.00894810,"SELECT A.*, RB.recommendedAction, RB.ratio, RB.weight FROM FILE_FOLDERNAME_ANALYSIS A
	JOIN RATIOBASIS RB ON A.ratiobasisID = RB.ID"
10,0.90450400,"CREATE TABLE FILE_FILETYPE_ANALYSIS AS
-- EXPLAIN
SELECT F.id, F.name, F.folder, F.filetype, FT.fileending as 'IDENTIFIED FILEENDING',  FT.ratiobasisID FROM FILE F
	JOIN FILETYPE FT ON F.filetype = FT.fileending"
11,0.16301720,"SELECT * FROM FILE_FILETYPE_ANALYSIS"
12,0.12960970,"SELECT A.*, RB.recommendedAction, RB.ratio, RB.weight FROM FILE_FILETYPE_ANALYSIS A
	JOIN RATIOBASIS RB ON A.ratiobasisID = RB.ID"
