Query_ID,Duration,Query
1,5.26095030,"create table folder_foldername_preAnalysis (primary key (folderID, ratiobasisID)) as
-- / EXPLAIN
select F.id as 'folderID', F.path, FN.id as 'foldernameID', FN.ratiobasisID, RB.recommendedAction, RB.ratio, RB.weight FROM FOLDER F
JOIN FOLDERNAME FN ON fn.id in (
		select innerFN.id from FOLDERNAME "
2,0.03345100,"create table folder_foldername_preAnalysis_duplicatedFolders (primary key (folderId)) as
  select folderId, count(*) from folder_foldername_preAnalysis F
  group by folderId
  having count(*) > 1"
3,0.01748000,"create table FOLDER_FOLDERNAME_ANALYSIS (primary key (folderID)) as 
	SELECT f.* FROM folder_foldername_preAnalysis F
       join folder_foldername_preAnalysis_duplicatedFolders df on F.folderId =  df.folderId
	   where f.weight = (
		  select MAX(innerF.weight)
		  from folder_foldername_preAnalysi"
4,0.22243040,"insert ignore into FOLDER_FOLDERNAME_ANALYSIS (`folderID`, `path`, `foldernameID`, `ratiobasisID`, `recommendedAction`, `ratio`, `weight`)
	SELECT * FROM folder_foldername_preAnalysis F"
	-- join those 2 statements with union was much slower;
	-- same with including the duplicated folders into one
5,0.00026050,"SHOW WARNINGS"
6,0.06700160,"select * from FOLDER_FOLDERNAME_ANALYSIS"
7,0.01665620,"CREATE TABLE FILE_FILENAME_ANALYSIS (primary key (ID)) AS
-- / EXPLAIN
SELECT F.id, F.name, F.folder, F.folderId, FN.ratiobasisID, RB.recommendedAction, RB.ratio, RB.weight FROM FILE F
	JOIN FILENAME FN ON F.name = FN.name
    JOIN RATIOBASIS RB ON FN.ratiobasisID = RB.ID"
8,0.00040740,"SELECT * FROM FILE_FILENAME_ANALYSIS"
9,2.00401060,"CREATE TABLE FILE_FOLDERNAME_ANALYSIS (primary key (ID)) AS
-- / EXPLAIN
SELECT F.id, F.name, F.folder, F.folderId, FN.ratiobasisID, FN.recommendedAction, FN.ratio, FN.weight FROM FILE F
	JOIN FOLDER_FOLDERNAME_ANALYSIS FN ON F.folderID = FN.folderID"
10,1.41835030,"SELECT * FROM FILE_FOLDERNAME_ANALYSIS"
11,1.16310030,"CREATE TABLE FILE_FILETYPE_ANALYSIS (primary key (ID)) AS
-- / EXPLAIN_
SELECT F.id, F.name, F.folder, F.filetype, FT.fileending as 'IDENTIFIED FILEENDING',  FT.ratiobasisID, RB.recommendedAction, RB.ratio, RB.weight FROM FILE F
	JOIN FILETYPE FT ON F.filetype = FT.fileending
    JOIN RATIOBASIS RB "
12,0.31235340,"SELECT * FROM FILE_FILETYPE_ANALYSIS"
13,7.76045250,"CREATE TABLE file_size_analysis AS
-- EXPLAIN
SELECT F.id, F.name, F.folder, F.sizeInBytes, F.sizeAsString,
       S.sizeInBytes as minSizeInBytes, S.id as "sizeId", S.sizeInBytes as 'treshhold sizeInBytes', S.sizeAsString as 'treshhold sizeAsString', S.ratiobasisID,
       RB.recommendedAction, RB."
14,5.71401060,"SELECT * FROM file_size_analysis"
