Query_ID,Duration,Query
1,0.93478620,"SELECT F.path, RB.recommendedAction, RB.ratio, RB.weight FROM FOLDER F
	LEFT JOIN FOLDERNAME FN ON FN.name = F.name
	LEFT JOIN RATIOBASIS RB ON FN.ratiobasisID = RB.ID
	ORDER BY ISNULL(RB.ratio) asc, RB.weight desc"
2,1.93693950,"SELECT F.name, F.folder, RB.recommendedAction, RB.ratio, RB.weight FROM FILE F
	LEFT JOIN FILENAME FN ON F.name = FN.name
	LEFT JOIN RATIOBASIS RB ON FN.ratiobasisID = RB.ID
	ORDER BY ISNULL(RB.ratio) asc, RB.weight desc"
3,2.43536540,"SELECT F.name, F.folder, RB.recommendedAction, RB.ratio, RB.weight FROM FILE F
	LEFT JOIN FOLDER FO ON F.folderID = FO.ID
	LEFT JOIN FOLDERNAME FN ON FN.name = FO.name
	LEFT JOIN RATIOBASIS RB ON FN.ratiobasisID = RB.ID
	ORDER BY ISNULL(RB.ratio) asc, RB.weight desc"
4,2.19222730,"SELECT F.name, F.folder, F.filetype, FT.fileending as 'IDENTIFIED FILEENDING',  RB.recommendedAction, RB.ratio, RB.weight FROM FILE F
	LEFT JOIN FILETYPE FT ON F.filetype = FT.fileending
	LEFT JOIN RATIOBASIS RB ON FT.ratiobasisID = RB.ID
	ORDER BY ISNULL(RB.ratio) asc, RB.weight desc"
5,0.00035020,"DROP TABLE IF EXISTS fileDataWithMinSizeReference"
6,0.00010600,"SHOW WARNINGS"
7,18.82279610,"CREATE TABLE fileDataWithMinSizeReference AS 
-- explain
SELECT F.name, F.folder, F.sizeInBytes, F.sizeAsString, S.sizeInBytes as minSizeInBytes
 FROM FILE F
	LEFT JOIN SIZE S ON F.sizeInBytes <= S.sizeInBytes
    GROUP BY F.name, F.folder, F.sizeInBytes, F.sizeAsString
    Having min(S.sizeInBytes)"
8,9.03368970,"SELECT filedata.name, filedata.folder, filedata.sizeInBytes, filedata.sizeAsString, S.sizeInBytes as 'treshhold sizeInBytes', S.sizeAsString as 'treshhold sizeAsString', RB.recommendedAction, RB.ratio, RB.weight
	FROM size s
	JOIN fileDataWithMinSizeReference filedata ON filedata.minSizeInBytes = S."
9,0.01293010,"DROP TABLE IF EXISTS fileDataWithMinDaysReference"
10,20.76622720,"CREATE TABLE fileDataWithMinDaysReference AS 
-- ;
-- explain
SELECT F.name, F.folder, F.lastAccessedTSD, DATEDIFF(NOW(), F.lastAccessedTSD) as differenceToToday, min(D.days) as minDays FROM FILE F
		LEFT JOIN date D on D.lastAccess = 1 and DATEDIFF(NOW(), F.lastAccessedTSD) <= D.days
        -- tod"
11,0.00010210,"SHOW WARNINGS"
12,1.10432020,"CREATE INDEX ix_filedata_minDays on  fileDataWithMinDaysReference(minDays)"
13,29.13070790,"SELECT filedata.folder, filedata.name, filedata.lastAccessedTSD, fileData.differenceToToday, D.days as 'treshhold days', RB.recommendedAction, RB.ratio, RB.weight
from date D
JOIN fileDataWithMinDaysReference fileData on D.days = fileData.minDays and D.lastAccess = 1
LEFT JOIN ratiobasis rb on D.rat"
14,0.00018070,"set profiling = 1"
