Query_ID,Duration,Query
1,0.33623540,"SELECT F.path, RB.recommendedAction, RB.ratio, RB.weight FROM FOLDER F
	JOIN FOLDERNAME FN ON FN.name = F.name
	JOIN RATIOBASIS RB ON FN.ratiobasisID = RB.ID"
2,0.42356250,"SELECT F.name, F.folder, RB.recommendedAction, RB.ratio, RB.weight FROM FILE F
	JOIN FILENAME FN ON F.name = FN.name
	JOIN RATIOBASIS RB ON FN.ratiobasisID = RB.ID"
3,0.33871610,"SELECT F.name, F.folder, RB.recommendedAction, RB.ratio, RB.weight FROM FILE F
	JOIN FOLDER FO ON F.folderID = FO.ID
	JOIN FOLDERNAME FN ON FN.name = FO.name
	JOIN RATIOBASIS RB ON FN.ratiobasisID = RB.ID"
4,0.98327870,"SELECT F.name, F.folder, F.filetype, FT.fileending as 'IDENTIFIED FILEENDING',  RB.recommendedAction, RB.ratio, RB.weight FROM FILE F
	JOIN FILETYPE FT ON F.filetype = FT.fileending
	JOIN RATIOBASIS RB ON FT.ratiobasisID = RB.ID"
5,0.01098930,"DROP TABLE IF EXISTS fileDataWithMinSizeReference"
6,18.36660320,"CREATE TABLE fileDataWithMinSizeReference AS 
-- explain
SELECT F.name, F.folder, F.sizeInBytes, F.sizeAsString, S.sizeInBytes as minSizeInBytes
 FROM FILE F
	JOIN SIZE S ON F.sizeInBytes <= S.sizeInBytes
    GROUP BY F.name, F.folder, F.sizeInBytes, F.sizeAsString
    Having min(S.sizeInBytes) = S."
7,8.92012430,"SELECT filedata.name, filedata.folder, filedata.sizeInBytes, filedata.sizeAsString, S.sizeInBytes as 'treshhold sizeInBytes', S.sizeAsString as 'treshhold sizeAsString', RB.recommendedAction, RB.ratio, RB.weight
	FROM size s
	JOIN fileDataWithMinSizeReference filedata ON filedata.minSizeInBytes = S."
8,0.01327290,"DROP TABLE IF EXISTS fileDataWithMinDaysReference"
9,18.86453820,"CREATE TABLE fileDataWithMinDaysReference AS 
-- ;
-- explain
SELECT F.name, F.folder, F.lastAccessedTSD, DATEDIFF(NOW(), F.lastAccessedTSD) as differenceToToday, min(D.days) as minDays FROM FILE F
		JOIN date D on D.lastAccess = 1 and DATEDIFF(NOW(), F.lastAccessedTSD) <= D.days
		GROUP BY F.name, "
10,1.15513640,"CREATE INDEX ix_filedata_minDays on  fileDataWithMinDaysReference(minDays)"
11,25.99140900,"SELECT filedata.folder, filedata.name, filedata.lastAccessedTSD, fileData.differenceToToday, D.days as 'treshhold days', RB.recommendedAction, RB.ratio, RB.weight
from date D
JOIN fileDataWithMinDaysReference fileData on D.days = fileData.minDays and D.lastAccess = 1
JOIN ratiobasis rb on D.ratiobas"
12,0.00017030,"set profiling = 1"
